,dokumen,clean_corpus,token,raw_freq,tfidf
0,"Sejumlah sekolah di Kota Palembang, Sumatera Selatan, memutuskan memulangkan siswa-siswa mereka lantaran kabut asap semakin tebal menyelimuti kota tersebut. pada Senin (14/10) pagi.",sekolah kota palembang sumatera selatan putus pulang siswa siswa lantar kabut asap tebal limut kota senin pagi,"['sekolah', 'kota', 'palembang', 'sumatera', 'selatan', 'putus', 'pulang', 'siswa', 'lantar', 'kabut', 'asap', 'tebal', 'limut', 'senin', 'pagi']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 0.0, 3.212271607140631, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 1.4519851237430572, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 2.01160091167848, 2.2992829841302607, 2.7047480922384253, 0.0, 0.0, 4.02320182335696, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Kepala SMP Negeri 7 Palembang, Siti Zubaida, mengatakan keputusan pemulangan ditempuh sesuai dengan instruksi Dinas Pendidikan Kota Palembang.",kepala smp negeri palembang siti zubaida putus pulang tempuh sesuai instruksi dinas didik kota palembang,"['kepala', 'smp', 'negeri', 'palembang', 'siti', 'zubaida', 'putus', 'pulang', 'tempuh', 'sesuai', 'instruksi', 'dinas', 'didik', 'kota']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7884573603642702, 0.0, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6061358035703155, 1.6061358035703155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 2.9039702474861144, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 2.2992829841302607, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0]"
2,"""Pagi ini kami memulangkan siswa karena melihat kabut asap yang tebal dan berdampak buruk terhadap siswa, oleh karenanya atas instruksi Kadiknas Kota Palembang melalui pesan WA Grup meminta siswa dipulangkan dan belajar di rumah masing-masing saja,"" jelas Siti kepada radio Elshinta.",pagi pulang siswa lihat kabut asap tebal dampak buruk hadap siswa instruksi kadiknas kota palembang pesan wa grup siswa pulang ajar rumah siti radio elshinta,"['pagi', 'pulang', 'siswa', 'lihat', 'kabut', 'asap', 'tebal', 'dampak', 'buruk', 'hadap', 'instruksi', 'kadiknas', 'kota', 'palembang', 'pesan', 'wa', 'grup', 'ajar', 'rumah', 'siti', 'radio', 'elshinta']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.6061358035703155, 0.0, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 2.7047480922384253, 2.7047480922384253, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 1.7884573603642702, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 1.6061358035703155, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 1.4519851237430572, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 4.02320182335696, 0.0, 0.0, 2.7047480922384253, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.03480273503544, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0]"
3,"Hal ini diamini Kepala Dinas Pendidikan Kota Palembang, Ahmad Zulinto, yang menyampaikan surat edaran ke semua sekolah.",amin kepala dinas didik kota palembang ahmad zulinto surat edar sekolah,"['amin', 'kepala', 'dinas', 'didik', 'kota', 'palembang', 'ahmad', 'zulinto', 'surat', 'edar', 'sekolah']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 2.2992829841302607, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7884573603642702, 0.0, 1.7884573603642702, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6061358035703155, 1.6061358035703155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4519851237430572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607]"
4,"""Hari ini seluruh TK hingga SMP negeri dan swasta sederajat diliburkan, untuk besok dan seterusnya akan diberikan edaran lebih lanjut,"" kata Ahmad Zulinto kepada kantor berita Antara.",tk smp negeri swasta derajat libur besok edar ahmad zulinto kantor berita,"['tk', 'smp', 'negeri', 'swasta', 'derajat', 'libur', 'besok', 'edar', 'ahmad', 'zulinto', 'kantor', 'berita']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7884573603642702, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607]"
5,"Menurutnya, kalau kualitas udara Palembang masih buruk dalam beberapa hari ke depan, kegiatan belajar mengajar di tingkat TK sampai SMP akan tetap diliburkan.",kualitas udara palembang buruk giat ajar ajar tingkat tk smp libur,"['kualitas', 'udara', 'palembang', 'buruk', 'giat', 'ajar', 'tingkat', 'tk', 'smp', 'libur']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 3.212271607140631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4519851237430572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 2.01160091167848, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"Akan tetapi, sebagaimana dipaparkan Kepala Dinas Pendidikan Sumatera Selatan, Widodo, kegiatan belajar mengajar di daerah yang tidak terdampak kabut asap tetap berlangsung.",papar kepala dinas didik sumatera selatan widodo giat ajar ajar daerah dampak kabut asap langsung,"['papar', 'kepala', 'dinas', 'didik', 'sumatera', 'selatan', 'widodo', 'giat', 'ajar', 'daerah', 'dampak', 'kabut', 'asap', 'langsung']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0, 0.0, 3.212271607140631, 0.0, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 2.01160091167848, 0.0, 0.0, 0.0, 1.7884573603642702, 0.0, 1.7884573603642702, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 1.6061358035703155, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0]"
7,"""Daerah yang tidak terdampak kabut asap tetap normal tetap belajar, untuk daerah yang terkategori sedang tetap belajar namun jam masuk sekolah diundur dan kami himbau memakai masker, bagi daerah terkategori parah maka siswa diberikan tugas dengan memaksimalkan kelas daring,"" kata Widodo kepada Antara.",daerah dampak kabut asap normal ajar daerah kategori ajar jam masuk sekolah undur himbau pakai masker daerah kategori parah siswa tugas maksimal kelas daring widodo,"['daerah', 'dampak', 'kabut', 'asap', 'normal', 'ajar', 'kategori', 'jam', 'masuk', 'sekolah', 'undur', 'himbau', 'pakai', 'masker', 'parah', 'siswa', 'tugas', 'maksimal', 'kelas', 'daring', 'widodo']","[0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[0.0, 0.0, 3.212271607140631, 0.0, 1.7884573603642702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.897848952390782, 2.01160091167848, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 2.7047480922384253, 1.7884573603642702, 0.0, 0.0, 5.4094961844768505, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 2.7047480922384253, 2.7047480922384253, 0.0, 0.0, 2.7047480922384253, 0.0, 2.7047480922384253, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 2.7047480922384253, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0]"
8,"Hal itu belakangan dibenarkan Agus Wibowo, selaku Kepala Pusat Data, Informasi dan Humas Badan Nasional Penanggulangan Bencana (BNPB).",agus wibowo kepala pusat data informasi humas badan nasional tanggulang bencana bnpb,"['agus', 'wibowo', 'kepala', 'pusat', 'data', 'informasi', 'humas', 'badan', 'nasional', 'tanggulang', 'bencana', 'bnpb']","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 2.7047480922384253, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6061358035703155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0]"
9,"""Melalui pesan digital, Kepala Dinas Pendidikan Kota Palembang menginstruksikan kegiatan belajar mengajar di tingkat paud, TK, SD dan SMP negeri dan swasta diliburkan hingga batas yang belum ditentukan,"" sebut Agus dalam siaran pers.",pesan digital kepala dinas didik kota palembang instruksi giat ajar ajar tingkat paud tk sd smp negeri swasta libur batas agus siar pers,"['pesan', 'digital', 'kepala', 'dinas', 'didik', 'kota', 'palembang', 'instruksi', 'giat', 'ajar', 'tingkat', 'paud', 'tk', 'sd', 'smp', 'negeri', 'swasta', 'libur', 'batas', 'agus', 'siar', 'pers']","[1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[2.2992829841302607, 0.0, 3.212271607140631, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7884573603642702, 2.7047480922384253, 1.7884573603642702, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6061358035703155, 1.6061358035703155, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.01160091167848, 0.0, 0.0, 0.0, 1.4519851237430572, 0.0, 0.0, 2.7047480922384253, 2.7047480922384253, 2.2992829841302607, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 0.0, 0.0, 2.7047480922384253, 0.0, 0.0, 1.7884573603642702, 0.0, 0.0, 2.2992829841302607, 0.0, 0.0, 0.0, 2.2992829841302607, 2.01160091167848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
